315
[87Sr]+	86.90833	86.87543	86.94123
[87Rb]+	86.90863	86.87573	86.94153
[88Sr]+	87.90506	87.87188	87.93824
[89Y]+	88.90530	88.87184	88.93876
[90Zr]+	89.90416	89.87042	89.93790
[91Zr]+	90.90510	90.87108	90.93912
[92Zr]+	91.90449	91.87019	91.93879
[92Mo]+	91.90626	91.87196	91.94056
[93Nb]+	92.90583	92.87125	92.94041
[94Mo]+	93.90454	93.86967	93.93941
[94Zr]+	93.90577	93.87090	93.94064
[95Mo]+	94.90529	94.87014	94.94044
[96Mo]+	95.90413	95.86870	95.93956
[96Ru]+	95.90705	95.87162	95.94248
[96Zr]+	95.90772	95.87229	95.94315
[97Mo]+	96.90547	96.86976	96.94118
[98Ru]+	97.90474	97.86874	97.94074
[98Mo]+	97.90486	97.86886	97.94086
[99Ru]+	98.90539	98.86911	98.94167
[100Ru]+	99.90367	99.86710	99.94024
[100Mo]+	99.90693	99.87036	99.94350
[101Ru]+	100.90503	100.86818	100.94188
[102Ru]+	101.90380	101.86666	101.94094
[102Pd]+	101.90506	101.86792	101.94220
[103Rh]+	102.90496	102.86754	102.94238
[104Pd]+	103.90349	103.86578	103.94120
[104Ru]+	103.90488	103.86717	103.94259
[105Pd]+	104.90454	104.86655	104.94253
[106Pd]+	105.90294	105.86466	105.94122
[106Cd]+	105.90591	105.86763	105.94419
[107Ag]+	106.90455	106.86598	106.94312
[108Pd]+	107.90334	107.86449	107.94219
[108Cd]+	107.90364	107.86479	107.94249
[109Ag]+	108.90420	108.86506	108.94334
[110Cd]+	109.90245	109.86302	109.94188
[110Pd]+	109.90460	109.86517	109.94403
[111Cd]+	110.90363	110.86391	110.94335
[112Cd]+	111.90221	111.86220	111.94222
[112Sn]+	111.90427	111.86426	111.94428
[113In]+	112.90351	112.86321	112.94381
[113Cd]+	112.90385	112.86355	112.94415
[114Sn]+	113.90223	113.86164	113.94282
[114Cd]+	113.90281	113.86222	113.94340
[115Sn]+	114.90279	114.86191	114.94367
[115In]+	114.90333	114.86245	114.94421
[116Sn]+	115.90119	115.86002	115.94236
[116Cd]+	115.90421	115.86304	115.94538
[117Sn]+	116.90240	116.86094	116.94386
[118Sn]+	117.90105	117.85929	117.94281
[119Sn]+	118.90276	118.86071	118.94481
[120Sn]+	119.90165	119.85931	119.94399
[120Te]+	119.90347	119.86113	119.94581
[121Sb]+	120.90327	120.86063	120.94591
[122Te]+	121.90250	121.85957	121.94543
[122Sn]+	121.90289	121.85996	121.94582
[123Sb]+	122.90367	122.86044	122.94690
[123Te]+	122.90372	122.86049	122.94695
[124Te]+	123.90227	123.85875	123.94579
[124Sn]+	123.90473	123.86121	123.94825
[124Xe]+	123.90534	123.86182	123.94886
[125Te]+	124.90388	124.86006	124.94770
[126Te]+	125.90276	125.85864	125.94688
[126Xe]+	125.90373	125.85961	125.94785
[127I]+	126.90392	126.85951	126.94833
[128Xe]+	127.90298	127.85827	127.94769
[128Te]+	127.90391	127.85920	127.94862
[129Xe]+	128.90424	128.85922	128.94925
[130Xe]+	129.90295	129.85764	129.94826
[130Te]+	129.90569	129.86038	129.95100
[130Ba]+	129.90578	129.86047	129.95110
[131Xe]+	130.90453	130.85892	130.95013
[132Xe]+	131.90359	131.85770	131.94949
[132Ba]+	131.90451	131.85861	131.95041
[133Cs]+	132.90491	132.85870	132.95111
[134Ba]+	133.90396	133.85745	133.95045
[134Xe]+	133.90485	133.85835	133.95135
[135Ba]+	134.90514	134.85834	134.95195
[136Ba]+	135.90404	135.85693	135.95116
[136Ce]+	135.90662	135.85951	135.95374
[136Xe]+	135.90668	135.85957	135.95380
[137Ba]+	136.90527	136.85786	136.95268
[138Ba]+	137.90469	137.85698	137.95239
[138Ce]+	137.90544	137.85773	137.95316
[138La]+	137.90656	137.85886	137.95427
[139La]+	138.90581	138.85780	138.95383
[140Ce]+	139.90489	139.85657	139.95322
[141Pr]+	140.90710	140.85847	140.95572
[142Nd]+	141.90717	141.85825	141.95609
[142Ce]+	141.90871	141.85979	141.95764
[143Nd]+	142.90927	142.86005	142.95850
[144Nd]+	143.90955	143.86002	143.95908
[144Sm]+	143.91145	143.86191	143.96098
[145Nd]+	144.91203	144.86218	144.96187
[146Nd]+	145.91257	145.86243	145.96272
[147Sm]+	146.91435	146.86391	146.96480
[148Sm]+	147.91428	147.86353	147.96504
[148Nd]+	147.91634	147.86559	147.96710
[149Sm]+	148.91664	148.86557	148.96771
[150Sm]+	149.91673	149.86536	149.96811
[150Nd]+	149.92033	149.86896	149.97171
[151Eu]+	150.91930	150.86761	150.97098
[152Sm]+	151.91917	151.86719	151.97116
[152Gd]+	151.91924	151.86725	151.97124
[153Eu]+	152.92068	152.86838	152.97298
[154Gd]+	153.92032	153.86771	153.97293
[154Sm]+	153.92166	153.86905	153.97427
[155Gd]+	154.92207	154.86916	154.97499
CeO+	155.89980	155.84657	155.95302
[156Gd]+	155.92157	155.86835	155.97479
[156Dy]+	155.92374	155.87051	155.97697
[157Gd]+	156.92342	156.86987	156.97696
[158Gd]+	157.92355	157.86971	157.97740
[158Dy]+	157.92386	157.87001	157.97771
[159Tb]+	158.92480	158.87064	158.97896
[160Dy]+	159.92465	159.87018	159.97913
[160Gd]+	159.92651	159.87204	159.98099
[161Dy]+	160.92638	160.87160	160.98117
[162Dy]+	161.92625	161.87115	161.98135
[162Er]+	161.92822	161.87312	161.98332
[163Dy]+	162.92818	162.87277	162.98360
[164Dy]+	163.92863	163.87291	163.98434
[164Er]+	163.92865	163.87292	163.98438
[165Ho]+	164.92976	164.87372	164.98579
[166Er]+	165.92973	165.87338	165.98608
[167Er]+	166.93150	166.87485	166.98816
[168Er]+	167.93182	167.87485	167.98880
[168Yb]+	167.93335	167.87637	167.99033
[169Tm]+	168.93365	168.87636	168.99094
[170Yb]+	169.93420	169.87659	169.99181
[170Er]+	169.93492	169.87730	169.99252
[171Yb]+	170.93578	170.87785	170.99370
[172Yb]+	171.93584	171.87759	171.99408
[173Yb]+	172.93765	172.87909	172.99622
[174Yb]+	173.93831	173.87944	173.99718
[174Hf]+	173.93950	173.88063	173.99837
[175Lu]+	174.94022	174.88103	174.99940
[176Hf]+	175.94086	175.88135	176.00037
[176Yb]+	175.94202	175.88251	176.00153
[176Lu]+	175.94214	175.88263	176.00165
[177Hf]+	176.94267	176.88284	177.00249
[178Hf]+	177.94315	177.88301	178.00330
[179Hf]+	178.94527	178.88481	179.00574
[180Hf]+	179.94600	179.88522	180.00677
[180W]+	179.94617	179.88539	180.00694
[180Ta]+	179.94691	179.88612	180.00769
[181Ta]+	180.94745	180.88635	181.00854
[182W]+	181.94766	181.88625	182.00906
[183W]+	182.94968	182.88795	183.01141
[184W]+	183.95038	183.88834	184.01244
[184Os]+	183.95193	183.88988	184.01398
[185Re]+	184.95241	184.89005	185.01479
[186Os]+	185.95329	185.89059	186.01598
[186W]+	185.95383	185.89114	186.01653
[187Re]+	186.95520	186.89220	187.01820
[187Os]+	186.95520	186.89220	187.01820
[188Os]+	187.95529	187.89195	188.01862
[189Os]+	188.95760	188.89395	189.02126
[190Os]+	189.95790	189.89394	190.02187
[190Pt]+	189.95938	189.89542	190.02335
[191Ir]+	190.96005	190.89577	191.02434
[192Pt]+	191.96049	191.89587	192.02510
