315
[87Sr]+	86.90833	86.80963	87.00703
[87Rb]+	86.90863	86.80993	87.00733
[88Sr]+	87.90506	87.80552	88.00460
[89Y]+	88.90530	88.80492	89.00568
[90Zr]+	89.90416	89.80294	90.00538
[91Zr]+	90.90510	90.80304	91.00716
[92Zr]+	91.90449	91.80158	92.00740
[92Mo]+	91.90626	91.80335	92.00917
[93Nb]+	92.90583	92.80208	93.00958
[94Mo]+	93.90454	93.79994	94.00914
[94Zr]+	93.90577	93.80117	94.01037
[95Mo]+	94.90529	94.79984	95.01074
[96Mo]+	95.90413	95.79784	96.01042
[96Ru]+	95.90705	95.80075	96.01335
[96Zr]+	95.90772	95.80142	96.01402
[97Mo]+	96.90547	96.79833	97.01261
[98Ru]+	97.90474	97.79675	98.01273
[98Mo]+	97.90486	97.79687	98.01285
[99Ru]+	98.90539	98.79654	99.01424
[100Ru]+	99.90367	99.79397	100.01337
[100Mo]+	99.90693	99.79723	100.01663
[101Ru]+	100.90503	100.79448	101.01558
[102Ru]+	101.90380	101.79239	102.01521
[102Pd]+	101.90506	101.79365	102.01647
[103Rh]+	102.90496	102.79270	103.01722
[104Pd]+	103.90349	103.79037	104.01661
[104Ru]+	103.90488	103.79176	104.01800
[105Pd]+	104.90454	104.79056	105.01852
[106Pd]+	105.90294	105.78810	106.01778
[106Cd]+	105.90591	105.79107	106.02075
[107Ag]+	106.90455	106.78885	107.02025
[108Pd]+	107.90334	107.78678	108.01990
[108Cd]+	107.90364	107.78708	108.02020
[109Ag]+	108.90420	108.78677	109.02163
[110Cd]+	109.90245	109.78416	110.02074
[110Pd]+	109.90460	109.78631	110.02289
[111Cd]+	110.90363	110.78447	111.02279
[112Cd]+	111.90221	111.78218	112.02224
[112Sn]+	111.90427	111.78424	112.02430
[113In]+	112.90351	112.78261	113.02441
[113Cd]+	112.90385	112.78295	113.02475
[114Sn]+	113.90223	113.78046	114.02400
[114Cd]+	113.90281	113.78104	114.02458
[115Sn]+	114.90279	114.78015	115.02543
[115In]+	114.90333	114.78069	115.02597
[116Sn]+	115.90119	115.77767	116.02471
[116Cd]+	115.90421	115.78069	116.02773
[117Sn]+	116.90240	116.77801	117.02679
[118Sn]+	117.90105	117.77578	118.02632
[119Sn]+	118.90276	118.77661	119.02891
[120Sn]+	119.90165	119.77462	120.02868
[120Te]+	119.90347	119.77644	120.03050
[121Sb]+	120.90327	120.77536	121.03118
[122Te]+	121.90250	121.77370	122.03130
[122Sn]+	121.90289	121.77409	122.03169
[123Sb]+	122.90367	122.77399	123.03335
[123Te]+	122.90372	122.77404	123.03340
[124Te]+	123.90227	123.77170	124.03284
[124Sn]+	123.90473	123.77416	124.03530
[124Xe]+	123.90534	123.77477	124.03591
[125Te]+	124.90388	124.77242	125.03534
[126Te]+	125.90276	125.77041	126.03511
[126Xe]+	125.90373	125.77138	126.03608
[127I]+	126.90392	126.77068	127.03716
[128Xe]+	127.90298	127.76885	128.03711
[128Te]+	127.90391	127.76978	128.03804
[129Xe]+	128.90424	128.76923	129.03926
[130Xe]+	129.90295	129.76703	130.03886
[130Te]+	129.90569	129.76978	130.04161
[130Ba]+	129.90578	129.76987	130.04170
[131Xe]+	130.90453	130.76772	131.04135
[132Xe]+	131.90359	131.76588	132.04131
[132Ba]+	131.90451	131.76680	132.04222
[133Cs]+	132.90491	132.76630	133.04352
[134Ba]+	133.90396	133.76445	134.04347
[134Xe]+	133.90485	133.76534	134.04436
[135Ba]+	134.90514	134.76472	135.04556
[136Ba]+	135.90404	135.76273	136.04536
[136Ce]+	135.90662	135.76530	136.04794
[136Xe]+	135.90668	135.76537	136.04800
[137Ba]+	136.90527	136.76305	137.04750
[138Ba]+	137.90469	137.76157	138.04782
[138Ce]+	137.90544	137.76231	138.04857
[138La]+	137.90656	137.76343	138.04968
[139La]+	138.90581	138.76176	139.04985
[140Ce]+	139.90489	139.75993	140.04984
[141Pr]+	140.90710	140.76125	141.05296
[142Nd]+	141.90717	141.76041	142.05394
[142Ce]+	141.90871	141.76193	142.05550
[143Nd]+	142.90927	142.76158	143.05696
[144Nd]+	143.90955	143.76096	144.05815
[144Sm]+	143.91145	143.76283	144.06006
[145Nd]+	144.91203	144.76251	145.06155
[146Nd]+	145.91257	145.76213	146.06300
[147Sm]+	146.91435	146.76299	147.06570
[148Sm]+	147.91428	147.76199	148.06656
[148Nd]+	147.91634	147.76405	148.06862
[149Sm]+	148.91664	148.76344	149.06984
[150Sm]+	149.91673	149.76260	150.07086
[150Nd]+	149.92033	149.76620	150.07446
[151Eu]+	150.91930	150.76425	151.07436
[152Sm]+	151.91917	151.76318	152.07515
[152Gd]+	151.91924	151.76326	152.07523
[153Eu]+	152.92068	152.76378	153.07758
[154Gd]+	153.92032	153.76250	154.07816
[154Sm]+	153.92166	153.76382	154.07948
[155Gd]+	154.92207	154.76331	155.08083
CeO+	155.89980	155.74013	156.05946
[156Gd]+	155.92157	155.76189	156.08125
[156Dy]+	155.92374	155.76405	156.08344
[157Gd]+	156.92342	156.76280	157.08405
[158Gd]+	157.92355	157.76199	158.08510
[158Dy]+	157.92386	157.76231	158.08540
[159Tb]+	158.92480	158.76231	159.08730
[160Dy]+	159.92465	159.76123	160.08807
[160Gd]+	159.92651	159.76309	160.08994
[161Dy]+	160.92638	160.76202	161.09074
[162Dy]+	161.92625	161.76096	162.09154
[162Er]+	161.92822	161.76292	162.09351
[163Dy]+	162.92818	162.76195	163.09441
[164Dy]+	163.92863	163.76146	164.09579
[164Er]+	163.92865	163.76147	164.09583
[165Ho]+	164.92976	164.76164	165.09787
[166Er]+	165.92973	165.76068	166.09879
[167Er]+	166.93150	166.76151	167.10149
[168Er]+	167.93182	167.76088	168.10275
[168Yb]+	167.93335	167.76241	168.10429
[169Tm]+	168.93365	168.76176	169.10553
[170Yb]+	169.93420	169.76137	170.10703
[170Er]+	169.93492	169.76208	170.10776
[171Yb]+	170.93578	170.76201	171.10954
[172Yb]+	171.93584	171.76112	172.11057
[173Yb]+	172.93765	172.76198	173.11333
